растирать	несов.\nсм. растереть.
преисполниться	сов. чем, чего, уст.\nтолтурулуу, батуу;\nпреисполниться радостью кубанычы койнуна батп о о.
бродильный,	­ая, -ое\nачытуучу, ачыткыч;\nбродильный фермент ачыткыч фермент.
дозорный,	­ай, -ое\n1. дозор-го т.;\nдозорное судно дозор кемеси;\n2. в знач. сущ. м. дозор (дозордо турган киши).
паритет	м.\nпаритет (1. теңдик, барабардык, тең укуктуулук; 2. эк. түрдүү мамлекеттердин валюталарын алтын менен салыштырганда туура келиштери, айырмасы).
автомашина	ж.\nавтомашина, автомобиль.
однострунный,	­ая, -ое\nбир кылдуу.
низкопоклонничать	несов. перед кем-чем, презр.\nкөшөкөрлөнүү, кулдук уруу, кошаматтап кулдук уруу.
рана	ж.\n1. жара, жаракат, жараат;\nогнестрельная рана ок тийгенден болгон жара;\n2. перен. муң, чер, кайгы, капа, санаа.
экспертный,	­ая, -ое\nэксперт-ке т.; эксперттик;\nэкспертная комиссия эксперттик комиссия.
протокол	м.\nпротокол.
обозлить	сов. кого, разг.\nачуусун келтирүү, жинин келтирүү.
скатить	сов. кого-что\nкулатуу, тоголотуп түшүрүү, жылгаяктатып түшүрүү;\nскатить камень с горы ташты тоодон кулатуу.
высыхать	несов.\nсм. высохнуть.
полова	ж. обл.\nтопон.
бортмеханик	м. ав.\nбортмеханик (лётчиктин жардамчы механиги).
отсыпать	сов. что, чего\nсалуу, бөлүп салуу, бөлүп башкага салуу (чубурулма заттар жөнүндө; мис. буудай, таруу, ун ж.б.).\nотсыпать\nнесов.\nсм. отсыпать.
просеяться	сов.\nэленүү, калбырлануу; электен, калбырдан өтүү.
зодчество	ср.\nзодчество;\nсм. архитектура.
преуменьшить	сов. что\nкичирейтип көрсөтүү, кичирейтүү; кичирейтип, азайтып айтуу.
непроизвольность	ж.\nэрксиздик, айла жоктук, аргасыздык.
обкрадывать	несов.\nсм. обокрасть.
полнокровный,	­ая, -ое\n1. каны толук, толук кандуу;\n2. перен. көңүлдүү, шаттуу, жыргалдуу;\nполнокровная жизнь жыргалдуу, көңүлдүү турмуш.
фирменный,	­ая, -ое\nфирма 1-ге т.;\nфирменный знак фирма белгиси.
заигрывание	ср. разг.\n1. (кокетничанье) тийишүү, шылкылдашуу;\n2. (заискивание) жагынуу, көшөкөрдөнүү, жалпактоо.
растрясти	сов. разг.\n1. что (раскидать) жайып таштоо, чачып таштоо;\nрастрясти сено для просушки чөптү кургатуу үчүн чачып таштоо;\n2. кого (разбудить) булкуп-силкип ойготуу, түртүп ойготуу;\n3. безл. кого чайкап (силкип) чарчатуу, жанчуу;\nв дороге его растрясло жолдо чайкалып, ал аябай чарчады; жол жүрүп, ал жанчылып калыптыр.
рваный,	­ая, -ое\nжыртык, жыртылган, айрылган, тытылган, үзүлгөн;\nрваные сапоги жыртылган өтүк;\nрваная бумага айрылган кагаз;\nрваные нитки үзүлгөн жиптер;\nрваная рана мед. тытылган жара (айланасы тегиз болбогон жара).
дорыться	сов.\nказып жетүү;\nмы дорылись до воды биз казып отуруп, сууга жеттик.
расшевеливать	несов.\nсм. расшевелить.
четвертной,	­ая, -ое\nчетверть-ке т.;\nчетвертная нота узундугу бүтүн нотанын төрттөн бирине барабар келген нота;\nчетвертной билет разг. уст. жыйырма беш сомдук кагаз акча.
нехитрый,	­ая, -ое\n1. (простодушный) куу эмес;\n2. разг. (несложный) окой, тетиксиз, татаал эмес;\nнехитрое дело оңой жумуш.
молескин	м.\n(ткань) шайтан тери (кездеме).
мобильность	ж.\nшамдагайлык, ылдамдык, чапчандык.
своеобразность	ж.\nсм. своеобразие.
нивелировка	ж. геод.\nсм. нивелирование 1.
весьма	нареч.\nабдан, аябай, өтө эле, эң эле;\nон весьма доволен ал абдан ыраазы.
доставка	ж.\nжеткирүү, жеткирип берүү;\nуплатить за доставку жеткирип берүү акысын төлөө.
пролезать	несов.\nсм. пролезть.
повойник	м. уст.\nаялдын оромолу, аялдын жоолугу.
утёнок	м.\nөрдөктүн баласы.
постелить	сов. разг.\nсм. постлать.
исправиться	сов.\nтүзөлүү, оңолуу;\nон, несомненно, исправится ал, сөзсүз, түзөлөт.
пересказ	м.\n1. (действие) кайта сүйлөп же жазып берүү (окуганды же укканды);\nпересказ прочитанного окуганды кайта сүйлөп берүү;\n2. (изложение) кыскача мазмунун жазуу;\nнаписать пересказ окугандын кайта кыскача мазмунун жазып берүү.
резальщик	м.\nкесүүчү, тууроочу (бир нерсени кесүүгө, тууроого специалист).
заковать	сов. кого-что\nкишен салуу;\nзаковать в кандалы кишен салуу.
максимум	1. м. (наибольшее количество) максимум (эң көп);\nмаксимум энергии энергиянын максимуму, күч-кубат максимуму;\nмаксимум температуры температуранын максимуму;\n2. в знач. нареч. разг. (самое большее) эң көп дегенде, ары кеткенде;\nответ будет максимум через пять дней жооп эң ары кеткенде беш күндөн кийин болот.
отлынивать	несов. от чего, прост.\nжалакайланып качуу, тайсалдоо;\nотлынивать от работы жумуштан жалакайланып качуу.
литровка	ж. разг.\nлитровка (бир литрдик бөтөлкө).
наездом	нареч.:\nон у нас не живёт, а бывает наездом ал биздикинде турбайт, келип-кетип турат.
нанка	ж.\n(ткань) нанка (сары түстөгү одоно кездеменин бир түрү).
восточный,	­ая, -ое\nвосток-ко т.;\nвосточная граница чыгыш чек ара;\nвосточный ветер чыгыштан соккон шамал.
опоражнивать	несов.\nсм. опорожнить.
спецовка	ж. разг.\nсм. спецодежда.
непочтительный,	­ая, -ое\nсыйлабас, ызаты жок, ызат кылбас, адепсиз.
бессонный	­ая, -ое\nуйку качкан, уктабаган;\nпровести бессонную ночь уктабай таң аттыруу.
стажировка	ж.\nстаж өтүү.
ларец	м. уст.\nсандыкча, үкөкчө, кооз сандыкча (асыл буюмдарды салып сактоо үчүн).
лесопромышленный,	­ая, -ое\nлесопромышленность-ко т.
спекулянт	м.\nспекулянт, алып-сатар, кызыл кулак.
спалить	сов. что\n(сжечь) куйкалоо, өрттөө, күйгүзүү.
гордыня	ж. уст.\nкекирейгендик.
сообразоваться	сов. и несов. с чем\nылайыкталуу, тууралоо, ылайык (жараша) иш кылынуу;\nсообразоваться со своими возможностями өзүнүн мүмкүнчүлүктөрүнө ылайыктуу иш кылуу.
примять	сов. что\nуйпалоо, жапыруу, тебелеп-тепсөө.
ленинский,	­ая, -ое\nЛенин-ге т.; лениндик;\nленинские заветы Лениндин осуяттары;\nЛенинский комсомол Ленин комсомолу;\nЛенинская премия Лениндик сыйлык.
ям	м. ист.\nям (илгерки убакытта - жолоочулар арабага башка ат чегип кетүүчү станция, бекет).
сей	сей I\nмест. указ. уст.\n1. ушу, ушул;\nпо сей день ушу күнгө чейин;\nсию минуту я приду мен азыр эле келем;\nсию минуту бир минутка, кичине коё туруңуз;\nдо сих пор\n1) (о времени) ушул убакка чейин;\n2) (о месте) ушул жерге чейин;\n2. в знач. сущ. сие ср. ушу;\nпри сём препровождается ушуну менен бирге жиберилет;\nбыть по сему уст. ушундай болсун.\nсей II, сейте\nповел. накл. от сеять.\nсей III\nмест. род., дат., твор. и предл. п. от сия.
олимп	м. миф.\nОлимп (байыркы грек-мифологиясында - кудайлардын турган жери).
линчевать	сов. и несов. кого\nлинчтөө.
рантовой,	­ая, -ое\nжулуктуу.
самосознание	ср.\nаң-сезим (өз мүдөөсүн, өзүнүн коомдогу, турмуштагы ролун, маанисин түшүнүү);\nклассовое самосознание таптык аң-сезим.
переквалификация	ж.\nквалификациясын өзгөртүү, жаңы адистикке кочүү, кайтадан квалификациялануу.
жадно	нареч.\n1. сугалактык менен, ач көздүк менен, бурдап;\nон жадно ест хлеб ал нанды бурдап сугунуп жатат;\n2. перен. ынталуу, шыктуу, абдан кызыгуучу;\nжадно слушать абдан кызыгып угуу.
пареный,	­ая, -ое\nбууга бышырылгаң, демделген, демдеп бышырылган;\nпареные овощи бууга бышырылган жашылчалар;\nдешевле пареной репы погов. текейден да арзан.
окрылять	несов.\nсм. окрылить.
дуралей	м. разг.\nакмак, кеңкелес.
эмбриональный,	­ая, -ое\nэмбрион-го т.; эмбрионалдык;\nв эмбриональном состоянии эмбрионалдык абалда (башталгыч абалы).
эвены	мн.\nэвендер.
оборудовать	сов. и несов. что\nжабдуу, шаймандоо;\nоборудовать завод современной техникой заводду азыркы техника менен жабдуу;\nоборудовать химический кабинет химия кабинетин жабдуу.
милостиво	нареч.\nырайымдуулук менен, кайрымдуут лук менен, кичи бейилдик менен.
стихотворение	ср.\nыр.
солодовый,	­ая, -ое\nсолод-го т.;\nсолодовый сахар угут канты.
помчаться	сов.\n1. (понестись) ажылдап жөнөө;\nлошади помчались по дороге аттар жол менен ажылдап жөнөдү;\n2. перен. (побежать) шашып чуркоо, катуу жүгүрүү;\nдети помчались в школу балдар чуркаган бойдон мектепке жөнөштү.
рефлексолог	м.\nрефлексолог (рефлексология жагынан специалист).
яблочко	ср. уменьш.-ласк.\nкичинекей алма.
пояснительный,	­ая, -ое\nпояснение-ге т.; түшүндүрүүчү, түшүндүрмө;\nпояснительная записка түшүндүрмө кат.
кустарный,	­ая, -ое\n1. кустардык (фабрикада эмес, кустардык жол менен колдо жасалган);\nкустарные изделия кустардык буюмдар (колдо жасалган буюмдар);\n2. кустардык (нерсени ушундай жол менен өндүрүшкө арналган);\nкустарная промышленность кустардык өнөр жай;\n3. пренебр. кустардык, эң эле жөнөкөй; эптеп-септеп кыла салган;\nкустарный метод кустардык метод.
запах	м.\nжыт;\nзапах цветов гүлдүн жыты;\nприятный запах сонун жыт;\nслышать запах или чувствовать запах жыт алуу, жыт сезүү.
электродвигатель	м.\nэлектр кубатын механикалык күчкө айландыруучу машина.
зональный,	­ая, -ое\nзоналык (жери, климаты, топурагы ж.б. бирдей);\nзональная группа растений өсүмдүктөрдүн зоналык тобу.
разность	ж.\n1. мат. айырма, калдык, калынды (бир сандан экинчи бир санды алгандагы калындысы);\n2. (различие) айырмалык, айырма, ар түрдүүлүк, ар башкалык;\nразность характеров мүнөздүн ар түрдүүлүгү.
умолк	м.:\nговорить без умолку жаагы басылбай (тынбай) сүйлөө.
обнажать	несов.\nсм. обнажить.
гардеробщица	женск. р. к гардеробщик.
терзаться	несов.\nкыйналуу, азап тартуу, азап чегүү, жапаа тартуу, жапаа чегүү.
олеин	м.\nолеин (1. хим. майлуу суюк кислоталардын кошундусу; 2. тех. самын жана стеарин өндүрүшүндө кошумча продукт).
основатель	м.\nнегиздөөчү, негиз салуучу.
консервативный,	­ая, -ое\nконсервативдүү (ар кандай жаңылыктарга каршы чыгуучу, эскини жактоочу, прогресске каршы, эски көз караштуу);\nконсервативные взгляды консервативдүү көз караштар.
смарка:	пойти на смарку разг. жокко чыгуу, жокко чыгарылуу.
смуглый,	­ая, -ое\nкара күрөң, кара тору (бет, өң).
ухабистый,	­ая, -ое\nаңдуу, өңгүл-дөңгүлдүү, уңкур-чуңкурдуу;\nухабистая дорога өңгүл-дөңгүлдүү жол.
паспорт	м.\n1. паспорт (кишинин атын-жөнүн, ким экендигин, кайда тургандыгын көрсөтүүчү атайын документ);\n2. (оборудования) паспорт (машиналардын ж.б. чарба жабдыктарынын каттоодон өткөзүлгөндүгүн билдирүүчү документ);\nпаспорт станка станоктун паспорту.
востоковедческий,	­ая, -ое\nвостоковедение-ге т.
поместительность	ж.\nичи кеңдик, көп сыя тургандык, ичине көп батыра тургандык.
регрессивный,	­ая, -ое\n1. (идущий в своём развитии к упадку, вырождению) регресстүү, регрессивдүү, артка кеткен, керисинен кеткек;\nрегрессивный метаморфоз биол. регрессивдүү метаморфоз (организмди жөнөкөйлешүүгө алып баруучу кубулуш);\n2. (реакционный) регрессивдүү (тескери; реакциячыл);\nрегрессивная ассимиляция лингв. регрессивдүү ассимиляция (тыбыштардын артка карай ээрчиши, мис. «тузсуз»дун ордуна «туссуз»).
шафер	м.\nкүйөөнүн же кыздын жолдошу (чиркөө ырымында: нике кыйганда кызжана күйөөнүн баштарынын үстүндөгү тажыларын кармап туруучу эки жигит).
козырять	несов.\n1. чем, карт. көзүрдү жүрүү (карта ойнунда);\n2. чем, перен. разг. (хвастаться) мактануу (бир нерсени өзүнүн артыкчылыгы катарында көрсөтүп);\n3. кому, воен. разг. аскерлерче колун көтөрүп честь берүү.
спускной,	­ая, -ое\nагыза турган, агызма, түшүрө турган;\nспускной кран тех. агыза турган чорго.
подложечный,	­ая, -ое\nанат.:\nподложечные боли төштүн айбалкасынын ооруганы.
работоспособный,	­ая, -ое\n1. (могущий работать) ишке (жумушка) жөндөмдүү, ишке (жумушка) ийкемдүү;\n2. (способный много работать) көп, узак иштей ала турган.
фисташка	ж.\nмисте (жыгачы жана жемиши).
преступница	женск. р. к преступник.
недоразвитость	ж.\nчала өскөндүк, толук өсүп жетпегендик, жетилбегендик, өсүп жетпегендик.
валять	несов.\n1. кого-что сүйрөө, оодаруу, оонатуу, тоголотуу;\nвалять в снегу кардын үстүнө сүйрөө;\nвалять по полу полдун үстүндө сүйрөө;\nвалять тесто в муке камырды унга оонатуу;\n2. что (скатывать) томолоктоо, жумалактоо;\nвалять ком из снега карды томолоктоо;\n3. что (сбивать из шерсти) басуу;\nвалять войлок кийиз басуу;\nвалять дурака разг. акмактын ишин кылуу.
скерцо	ср. нескл. муз.\nскерцо (көбүнчө симфония же сонатага экинчи же үчүнчү кылып кошулуп ойнолуучу ылдам темптеги сергек чыгарма).
запрашивать	несов.\nсм. запросить.
мгновенный,	­ая, -ое\nкөз ирмегенче, көз ачып жумганча, өтө тез;\nмгновенное действие өтө тез аракет, көз ачып жумганча болгон аракет.
облегчение	ср.\n1. (действие) жеңилдөө, жеңилдетилүү, оңойлоо, оңойлотулуу;\n2. жеңилдик, оңойлоо;\nпочувствовать облегчение жеңилдикти сезүү.
громовой,	­ая, -ое\n1. гром 1-ге т.; күрүлдөгөн, күңгүрөгөн, күрсүлдөгөн;\nгромовые раскаты күндүн күркүрөөлөрү;\n2. перен. күркүрөк, күркүрөгөн;\nгромовой голос күркүрөгөн үн.
протаптывать	несов.\nсм. протоптать.
обывательщина	ж. разг.\nобывательщина, обывателдик (турмуштагы жанылыкты кабыл албагандык, акыл-эс жагынан артта калгандык, таламдардын тардыгы);\nпогрязнуть в обывательщине обывателдикке батуу;\nбороться с обывательщиной обывателдикке (обывательщинага) каршы күрөшүү.
препятствовать	несов. кому-чему\nкаргаша болуу, жолто кылуу, тоскоол кылуу, кедерги кылуу.
разлом	м.\n1. (действие) жарылуу, сынуу, сындыруу;\nразлом льда муздун жарылышы;\n2. (место) сынык, сыныктын орду.
побои	только мн.\nтаяктоо, уруп-согуу.
ограничить	сов. кого-что\nчектөө, чек коюу, белгилүү рамкага коюу;\nограничить себя в чём-л. бир нерседе өзүн чектөө;\nограничить оратора временем ораторду белгилүү убакыт менен чектөө.
неверный,	­ая, -ое\n1. (неправильный) туура эмес, ката, чын эмес;\nневерный шаг перен. туура эмес кадам (иш);\n2. (неуверенный) калкылдаган, мыкты эмес;\nневерная походка калкылдаган жүрүш;\n3. (вероломный, лживый) ак эмес, алдамчы.
тщательность	ж.\nкылдаттык, чебердик, бышыктык, тыкандык менен иштегендик;\nвыполнить работу с большой тщательностью жумушту өтө кылдаттык менен аткаруу.
языкознание	ср.\nтил илими;\nмарксистское языкознание марксисттик тил илими.
неясыть	ж. зоол.\nмыкый үкү.
настурция	ж.\nнастурция (кызгылт-сары түстүү гүлү бар бир жылдык өсүмдүк).
закупочный,	­ая, -ое\nдүң соодалай турган;\nзакупочная цена дүң соодалай турган баасы.
брошка	ж.\nброшка (көкүрөккө кадала турган кооз төөнөгүч).
потакать	несов. кому-чему в чём, разг.\n«сеники макул, сеники ырас» дей берүү (кандайдыр бир жарабаган ишти макулдап).
подмётка	ж.\nташ таман;\nпоставить новые подмётки жаңы таш таман салуу;\nон тебе в подмётки не годится разг. ал сенин бучкагыңа теңелбейт.
фотография	ж.\n1. (занятие) фотография (сүрөткө түшүрүү кесиби);\nувлекаться фотографией фотография ишине берилүү, фотография ишинин артынан түшүү;\n2. (снимок) сүрөт, фотография;\nудачная фотография жакшы чыккан сүрөт, көңүлдөгүдөй түшүрүлгөн сүрөт;\n3. (учреждение) фотография (сүрөткө түшүрүүчү жай);\nсняться в фотографии фотографияда сүрөткө түшүү.
повеселиться	сов.\nкөңүл ачуу, тамаша кылуу;\nсегодня мы вдоволь повеселились бүгүн биз аябай көңүл ачтык.
сыромятный,	­ая, -ое\nчийки, чылгый, жаш;\nсыромятная кожа чылгый кайыш, чийки тери.
третировать	несов. кого-что\nкемсинтүү, менсинбөө, таназарына албоо.
мальчишество	ср.\nбалалык, үстүрттүк, тентектик, оюнкараактык.
сооружать	несов.\nсм. соорудить.
пропариваться	несов.\n1. см. пропариться;\n2. страд. к пропаривать.
донкихотство	ср.\nдонкихоттук (шартты, учурду эске албастан куру кайрат кылуучулук; берекесиз кыялга тушуучулук).
перестраховка	ж.\n1. жаңыдан камсыздандырылуу, кайтадан камсыздандыруу;\nперестраховка имущества мүлктөрдү кайтадан камсыздандыруу;\n2. перен. неодобр. перестраховка; жоопкерчиликти бирөөгө жүктөп, өз башын ала качуу.
каузальность	ж. филос.\nсебептүүлүк (көрүнүштөрдүн себептүүлүгү; көрүнүштөрдүн, кубулуштардын себептүү байланыштуулугу).
ссылочный,	­ая, -ое\nссылка II-ге т.;\nссылочные примечания шилтеме эскертүүлөр.
перистокрылые	мн. (ед. перистокрылое ср.) зоол.\nжалбырак канаттуулар (канаттуу коңуздардын түркүмү).
подстегнуть	сов. кого\n1. (хлестнуть чем-л.) чабуу, тартып жиберүү (мис. камчы менен);\nподстегнуть лошадь атты чаап жиберүү;\n2. перен. разг. (подогнать) ыкчамдатуу, шаштыруу;\nподстегнуть отстающих артта калгандарды шаштыруу.
кислый,	­ая, -ое\n1. кычкыл;\nкислое яблоко кычкыл алма;\n2. (прокисший) ачып бузулуп калган;\n3. хим. кычкыл;\nкислые растворы кычкыл эритмелер;\n4. перен.\nкөңүлсүз, сабыры суз, шалпысы бош, жактырбаган, кыртышы сүйбөй турган;\nу него сегодня кислое настроение бүгүн анын шалпысы бош, сабыры суз;\nсделать кислое лицо өңүн китирейтүү;\nкислая капуста ачыткан капуста;\nкислое молоко айран, жуурат.
властелин	м.\nчексиз укуктуу, чектелбеген укуктуу.
полтинник	м. разг.\n(монета) элүү тыйын.
конвергенция	ж.\nконвергенция (1. бири-бирине байланыштуу болбогон кубулуштардын белгилеринин же касиеттеринин окшоштугу; 2. биол. ар түрдүү организмдердин кандайдыр бир касиеттеринин окшоштугу; бул окшоштук алардын тукумдаштыгына негизделбестен, алардын сырткы бирдей шарттардын таасирине же бирдей милдеттерге ийкемделүүлөрүнө негизделет).
горизонт	м.\n1. горизонт (асман менен жердин кошулган жери сыяктуу болуп турган сызыгы);\nсолнце скрылось за горизонтом күн горизонттон ары батты;\nни облачка на горизонте асманда такыр булут жок;\n2. (всё видимое пространство) көз алдындагы мейкиндик;\nс горы открылся широкий горизонт тоодон караганда көз алдында кең мейкиндик ачылды;\nчеловек с широким горизонтом кең билимдүү адам, көптү билген адам.
проливаться	несов.\n1. см. пролиться;\n2. страд. к проливать.
кропать	несов. что, разг.\nиштин жөнүн билбей, чоркоктук кылып, жаман жана кашаң жазуу (мис. ырды, романды).
добродушие	ср.\nак көңүлдүүлүк, жумшак көңүлдүүлүк.
закидать	сов. кого-что чем\nыргытуу, ыргыта берүү, ыргытып толтуруу, ыргытып жоготуу.
прощупать	сов.\n1. что сыйпалап байкоо, кармалап байкоо, кармалап көрүү;\nпрощупать опухоль шишикти кармалап байкап көрүү;\n2. кого-что, перен. ичкелеп билүү, бирөө жөнүндө абайлап билип алуу, жибин тартып көрүү, алдыртан байкап көрүү.
отвинчиваться	несов.\n1. см. отвинтиться;\n2. страд. к отвинчивать.
опекунский,	­ая, -ое\nопекун-га т.; опекундук;\nопекунские права опекундук укуктар.
мебельный,	­ая, -ое\nмебель-ге т.;\nмебельный магазин мебель магазини.
отмстить	сов. уст.\nсм. отомстить.
узкоколейка	ж. ж.-д.\nтар колеялуу (темир жол).
рычание	ср.\nыркыроо, ырылдоо, бакыруу, айкыруу.
дипломатически	нареч.\nсм. дипломатично.
кегль	м. полигр.\nкегль (типография арибинин белгилүү өлчөмү).
причуда	ж.\nобу жок кылык.
уступ	м.\nкашат, тепкич, тумшук, урчук;\nна уступе горы тоонун кашатында;\nберег реки поднимался уступами өзөндүң жээги кашат-кашат болуп турду.
моторизованный,	­ая, -ое\n1. прич. от моторизовать;\n2. прил. мотордошкон, мотордоштурулган.
хибара	ж.\nсм. хибарка.
дунгане	мн.\nдунгандар.
обокрасть	сов. кого-что\nуурдап кетүү, уурдап алуу.
образовательный,	­ая, -ое\nмаалымат (билим) берүүчү;\nобразовательный ценз маалымат цензи (билиминин көлөмү; бул көлөм кандайдыр бир окуу жайын бүтүрүү менен аныкталат).
несамостоятельный,	­ая, -ое\nөзүнчө эмес, өз акылынча иштей албаган, ээрчиме, өз бетинче эмес, оома;\nнесамостоятельный человек ээрчиме киши;\nнесамостоятельное решение өз бетинче болбогон чечим.
теодолит	м. геод.\nтеодолит (жер ченөө ишинде колдонулуучу бурч өлчөгүч аспап).
селянин	м. (мн. селяне) уст.\nдыйкан.
отмачивать	несов.\nсм. отмочить.
именовать	несов. кого-что\nатоо, атын атоо, ат коюу, атынан чакыруу.
земельный,	­ая,-ое\nземля 4-гө т.;\nземельный участок жер участогу;\nземельная площадь жер аянты;\nземельный надел кесип берилген жер;\nземельный фонд жер фондусу;\nземельное законодательство жер жөнүндө закон чыгаруу же закондор жыйнагы;\nземельная рента жер рентасы.
доброжелатель	м.\nбирөөгө жакшылык тилөөчү, боорукер.
препятствие	ср.\nкаргаша, тоскоол, жолто, кырсык;\nчинить препятствия кому-л. бирөөгө жолто кылуу;\nпреодолевать все препятствия бардык тоскоолдорду жеңип өтүү.
примиренчество	ср. неодобр.\nкелишүүчүлүк, келишип кетүүчүлүк.
ввергнуть	сов. кого-что\n1. уст. (насильно поместить куда-л.) зордоп бир жерге коюу (киргизүү, отургузуу, салуу);\nввергнуть в темницу зынданга отургузуу, түрмөгө салуу;\n2. перен. дуушар кылуу;\nввергнуть в отчаяние үмүтсүздүккө дуушар кылуу.
текинец	м.\nтекин.
антихудожественный,	­ая, -ое\nкөркөм эмес, көркөмү жок.
нагнать	нагнать I\nсов.\n1. кого-что (догнать) кууп жетүү, кубалап жетүү, кууп кармоо (мис. качкынды);\n2. что, кого-чего (согнать, сосредоточить) айдап келүү, айдап чогултуу (көп нерсени, мис. малды);\nнагнать сон уйку келтирүү;\nнагнать тоску ичти бышыруу;\nнагнать страху коркутуп жанын чыгаруу.\nнагнать II\nсов.\n(добыть перегонкой) тартуу, чыгаруу;\nнагнать спирту спирт чыгаруу.
мирза	м.\nмырза (1. Чыгыштын кээ бир элдеринде - падыша тукумуна жатуучу кишинин атынын алдына кошуп айтылуучу сөз; 2. Иранда - чоң мансаптуу кишилердин атынын артына кошуп айтылуучу сөз).
теперь	нареч.\nазыр, ушу күндө, эми, ушу кезде;\nэто надо сделать теперь муну эми иштеш керек.
гипотетичный,	­ая, -ое\nсм. гипотетический.
фортепьянный,	­ая, -ое\nфортепьяно-го т.; фортепьяндык;\nфортепьянный концерт фортепьяно концерти, фортепьяндык концерт.
исходатайствовать	сов. что, офиц.\nөтүнүп алуу, суранып алуу.
евангелие	ср. рел.\nинжил (христиандардын диний китеби).
сплутовать	сов. разг.\nмитаамдык кылуу, алдоо.
привязь	ж.:\nдержать собаку на привязи итти байлоодо кармоо.
начесать	сов.\n1. что, чего тароо, көп кылып тароо (мис. кендирди, буланы);\n2. что, разг. (повредить чесанием) айра тырмоо.
экономичность	ж.\nпайдалуулук, үнөмдүүлүк.
инициатор	м.\nинициатор (бир иште демилге көрсөткөн киши).
первейший,	­ая, -ее\n(самый лучший) эн, биринчи, эң сонун, ортон колдой.
вперить	сов. что:\nвперить взор (взгляд) в кого-л., во что-л. бирөөнү же бир нерсени тигиле (тике) кароо, бирөөгө же бир нерсеге тигилип кароо.
рычажок	м. уменьш. от рычаг 1\nкичинекей рычаг.
изобиловать	несов. кем-чем\nмол болуу, көп болуу, толуп жатуу;\nреки СССР изобилуют рыбой СССРдин дарыяларында балык толуп жатат.
толстый,	­ая, -ое\n1. (полный) жоон, семиз;\nтолстый мужчина семиз эркек;\n2. калың;\nтолстая книга калың китеп;\nтолстое сукно калың сукно;\nтолстый журнал адабияттык олуттуу мааниси бар журнал;\nтолстый карман разг. чөнтөгүндө акчасы көп киши; чөнтөгү калың.
блеснуть	однокр.\n1. жарк этүү, жаркылдоо;\n2. перен. (внезапно появиться) кылт этүү, чети көрүнүү;\nблеснула мысль ойго кылт эте түштү;\nблеснула надежда үмүттүн чети көрүндү.
настриг	м.:\nнастриг шерсти жүн кыркып алуу.
пороховой,	­ая, -ое\nпорох-ко т.;\nпороховой погреб порох сактагыч погреб, ок-дары сактагыч погреб (жер астындагы там);\nпороховой завод ок-дары чыгаруучу завод.
сударыня	ж. уст.\n(обращение) айым (аялга сылык түрдө кайрылганда).
сотый,	­ая, -ое\nчисл.\nжүзүнчү;\nсотая страница жүзүнчү бет;\nодна сотая жүздөн бир бөлүгү.
межрёберный,	­ая, -ое\nанат.\nкабырганын арасындагы;\nмежрёберные мышцы кабырганын арасындагы булчуңдар.
вьюшка	ж.\nмордун (трубанын) тешигин жабуучу калак темир.
родничок	родничок I\nм. анат.\nэмгек (баланын төбөсүндөгү эмгеги, былкылдак жери).\nродничок II\nм. уменьш. от родник\nбулакча, кайнарча; кайнар булакча, башатча.
импровизировать	несов. что\nимпровизациялоо, импровизация кылуу.
стелька	ж.\nбатек;\nпьян как стелька ылжыган мас. стельная: стельная корова бооз уй.
смяться	сов.\nбырышуу, уйпалануу;\nбумага смялась в кармане кагаз чөнтөктө бырышып калды.
придвигаться	несов.\n1. см. придвинуться;\n2. страд. к придвигать.
динозавр	м. палеонт.\nдинозавр (тукуму эбак куруган эң эле зор сойлогуч жаныбар).
спиритуалист	м. филос.\nспиритуализмдин жолун жолдоочу.
вдохновиться	сов.\nшыктандырылуу, дем берилүү.
жировой,	­ай, -ое\nжир-ге т.; майлуу, майы бар;\nжировая опухоль май шишик;\nжировая промышленность май чыгаруучу өнөр жай.
фальсификация	ж.\n1. (действие) фальсификациялоо, бурмалоо (кара ниеттик менен жасалма кылып чыгаруу);\nфальсификация исторических фактов тарыхый фактыларды фальсификациялоо (бурмалоо);\n2. (подделанная вещь) жасалмаланган, жалган, чыныгы эмес нерсе;\nгрубая фальсификация жемчуга орой жасалмаланган бермет, чыныгы эмеси көрүнүп турган бермет.
путы	мн. (ед. путо ср.)\n1. обл. тушамыш, тушоо;\n2. перен. кишен (мис. капиталисттик кулдуктун торлору).
захрустеть	сов.\nкырсылдай баштоо, тырсылдай баштоо, чыртылдай баштоо, чытырай баштоо, кычырай баштоо.
пудриться	несов.\n1. пудралануу, пудра сыйпануу, упа сүртүнүү;\n2. страд. к пудрить.
обесцениваться	несов.\n1. см. обесцениться;\n2. страд. к обесценивать.
украшение	ср.\n1. (действие) кооздоо, жасоо, жасалгалоо;\nукрашение ёлки ёлканы жасалгалоо;\n2. (предмет) жасалга, кооздук нерсе;\nёлочные украшения ёлка жасалгалары.
изгородь	ж.\nкашаа, тосмо (чабак жыгачтан, чырпыктан жасалган тосмо; бадал жыгач тигип жасалган кашаа).
